OSKMcMycOpen,BSGMcMycOpen,GETMcMycOpen,GETME_EScMycOpen,GETME_TScMycOpen,OSKMcMycClose,BSGMcMycClose,GETMcMycClose,GETME_EScMycClose,GETME_TScMycClose
Adcy9,Ap2a2,Agk,Agpat6,Afg3l2,Camsap2,,Arfgap3,Asah2,Arid1b
Add1,Ap3d1,Agl,Agps,Agap1,Camta1,,Arfgef2,Asap1,Arid4a
Add3,Ap3s1,Ago3,Ahcy,Agap3,Caprin2,,Arfip1,Asb1,Arid5b
Adh5,Ap4s1,Agpat2,Ahnak,Agbl3,Car12,,Arg1,Asb4,Arl1
Adh7,Ap5m1,Agpat4,Ahr,Aggf1,Car8,,Arhgap11a,Ascc3,Arl15
Adhfe1,Ap5s1,Agpat5,Aig1,Agk,Casp3,,Arhgap20,Asf1a,Arl2bp
Adi1,Apaf1,Agpat6,Aim1,Agpat2,Cbr3,,Arhgap21,Aspa,Arl4c
Adm,Apbb2,Agps,Aimp1,Agpat4,Cbx1,,Arhgap22,Aspg,Arl5a
Adnp2,Apex1,Ahcy,Ajuba,Agpat5,Cbx5,,Arhgap24,Aspn,Arl5b
Adora1,Aph1c,Ahnak,Ak2,Agpat6,Cbx7,,Arhgap26,Asun,Arl8b
Adora2b,Api5,Ahr,Ak3,Agtpbp1,Ccbe1,,Arhgap29,Asxl3,Armc2
Adpgk,Apitd1,Ahrr,Ak4,Ahcy,Ccdc109b,,Arhgap31,Atad3a,Armc5
Adprhl2,Apobec3,Aif1l,Ak5,Ahnak,Ccdc50,,Arhgap32,Ate1,Arnt
Adra1b,Appl1,Aig1,Akap1,Ahr,Ccdc85b,,Arhgap42,Atf6,Arnt2
Adra2a,Aprt,Aim1,Akap11,Aig1,Ccdc88c,,Arhgap44,Atf7,Arntl
Adrb3,Aqp11,Aimp1,Akap12,Aim1,Cck,,Arhgap5,Atg16l2,Arpc5
Adrbk1,Arf6,Ajuba,Akap13,Aimp1,Ccnb2,,Arhgap6,Atg3,Arrdc3
Adsl,Arfgef1,Ak2,Akap6,Aip,Ccrn4l,,Arhgef10l,Athl1,Arrdc4
Adssl1,Arglu1,Ak3,Akap7,Ajuba,Cct3,,Arhgef11,Atic,Arsb
Aebp1,Arhgap1,Ak4,Akap8,Ak2,Cct5,,Arhgef12,Atp10a,Arsi
Afap1,Arhgap10,Ak5,Akap8l,Ak3,Cd180,,Arhgef16,Atp10b,Arsj
Aff1,Arhgap11a,Akap1,Akip1,Ak4,Cd36,,Arhgef18,Atp11a,Art3
Aff2,Arhgap12,Akap11,Akirin1,Ak5,Cd37,,Arhgef26,Atp1a1,Art4
Aff3,Arhgap21,Akap12,Akr1b8,Akap1,Cd47,,Arhgef28,Atp1b1,Artn
Aff4,Arhgap23,Akap13,Aktip,Akap11,Cd93,,Arhgef33,Atp1b3,Asah1
